ID,R,G,B,hex,count
0772,100,136,171,#6488ab,0042
0773,124,183,242,#7cb7f2,0069
0774,147,230,064,#93e640,0055
0775,170,028,136,#aa1c88,0042
0776,193,075,208,#c14bd0,0051
0777,216,123,030,#d87b1e,0033
0778,239,170,101,#efaa65,0031
0779,012,218,173,#0cdaad,0030
0780,035,015,245,#230ff5,0042
0781,059,063,067,#3b3f43,0049
0782,082,110,138,#526e8a,0040
0783,105,158,210,#699ed2,0040
0784,128,205,032,#80cd20,0038
0785,151,002,104,#970268,0062
0786,174,050,176,#ae32b0,0038
0787,197,097,247,#c561f7,0032
0788,220,145,069,#dc9145,0031
0789,244,192,141,#f4c08d,0045
0790,017,240,213,#11f0d5,0035
0791,040,037,035,#282523,0032
0792,063,085,106,#3f556a,0023
0793,086,132,178,#5684b2,0027
0794,109,180,000,#6db400,0042
0795,132,227,072,#84e348,0038
0796,155,024,144,#9b1890,0038
0797,179,072,215,#b348d7,0032
0798,202,119,037,#ca7725,0033
0799,225,167,109,#e1a76d,0043
0800,248,214,181,#f8d6b5,0033
0801,021,012,002,#150c02,0034
0802,044,059,074,#2c3b4a,0050
0803,067,107,146,#436b92,0054
0804,090,154,218,#5a9ada,0046
0805,114,202,040,#72ca28,0043
0806,137,249,111,#89f96f,0068
0807,160,046,183,#a02eb7,0052
0808,183,094,005,#b75e05,0057
0809,206,141,077,#ce8d4d,0006
0810,229,189,149,#e5bd95,0006
0811,002,236,220,#02ecdc,0006
0812,025,034,042,#19222a,0012
0813,048,081,114,#305172,0012
0814,072,129,186,#4881ba,0006
0815,095,176,008,#5fb008,0012
0816,118,224,079,#76e04f,0006
0817,141,021,151,#8d1597,0012
0818,164,069,223,#a445df,0006
0819,187,116,045,#bb742d,0006
0820,210,163,116,#d2a374,0006
0821,233,211,188,#e9d3bc,0014
0822,007,008,010,#07080a,0028
0823,030,056,082,#1e3852,0006
0824,053,103,154,#35679a,0006
0825,076,151,225,#4c97e1,0000
0826,099,198,047,#63c62f,0000
0827,122,246,119,#7af677,0216
0828,145,043,191,#912bbf,0224
0829,168,091,013,#a85b0d,0353
0830,192,138,084,#c08a54,0242
0831,215,185,156,#d7b99c,0350
0832,238,233,228,#eee9e4,0236
0833,011,030,050,#0b1e32,0059
0834,034,078,122,#224e7a,0362
0835,057,125,193,#397dc1,0607
0836,080,173,015,#50ad0f,0428
0837,103,220,087,#67dc57,0597
0838,127,018,159,#7f129f,0410
0839,150,065,230,#9641e6,0472
0840,173,113,052,#ad7134,0081
0841,196,160,124,#c4a07c,0000
0842,219,207,196,#dbcfc4,0190
0843,242,005,018,#f20512,0402
0844,015,052,089,#0f3459,0077
0845,038,100,161,#2664a1,0070
0846,062,147,233,#3e93e9,0089
0847,085,195,055,#55c337,0118
0848,108,242,127,#6cf27f,0152
0849,131,040,198,#8328c6,0121
0850,154,087,020,#9a5714,0130
0851,177,135,092,#b1875c,0154
0852,200,182,164,#c8b6a4,0148
0853,223,229,236,#dfe5ec,0152
0854,247,027,057,#f71b39,0000
0855,020,074,129,#144a81,0000
0856,043,122,201,#2b7ac9,0000
0857,066,169,023,#42a917,0000
0858,089,217,094,#59d95e,0112
0859,112,014,166,#700ea6,0000
0860,135,062,238,#873eee,0201
0861,158,109,060,#9e6d3c,0258
0862,182,157,132,#b69d84,0109
0863,205,204,203,#cdcccb,0113
0864,228,001,025,#e40119,0132
0865,001,049,097,#013161,0128
0866,024,096,169,#1860a9,0576
0867,047,144,241,#2f90f1,0000
0868,070,191,062,#46bf3e,0336
0869,093,239,134,#5def86,0219
0870,117,036,206,#7524ce,0111
0871,140,084,028,#8c541c,0162
0872,163,131,100,#a38364,0181
0873,186,179,171,#bab3ab,0069
0874,209,226,243,#d1e2f3,0066
0875,232,024,065,#e81841,0039
0876,005,071,137,#054789,0031
0877,028,118,208,#1c76d0,0049
0878,051,166,030,#33a61e,0049
0879,075,213,102,#4bd566,0019
0880,098,011,174,#620bae,0000
0881,121,058,246,#793af6,0035
0882,144,106,067,#906a43,0031
0883,167,153,139,#a7998b,0101
0884,190,201,211,#bec9d3,0093
0885,213,248,033,#d5f821,0225
0886,236,046,105,#ec2e69,0121
0887,010,093,176,#0a5db0,0126
0888,033,140,248,#218cf8,0294
0889,056,188,070,#38bc46,0000
0890,079,235,142,#4feb8e,0000
0891,102,033,213,#6621d5,0000
0892,125,080,035,#7d5023,0000
0893,148,128,107,#94806b,0000
0894,171,175,179,#abafb3,0000
0895,195,223,001,#c3df01,0000
0896,218,020,072,#da1448,0000
0897,241,068,144,#f14490,0139
0898,014,115,216,#0e73d8,0000
0899,037,162,038,#25a226,0176
0900,060,210,110,#3cd26e,0141
0901,083,007,181,#5307b5,0209
0902,106,055,003,#6a3703,0114
0903,130,102,075,#82664b,0086
0904,153,150,147,#999693,0164
0905,176,197,219,#b0c5db,0094
0906,199,245,040,#c7f528,0085
0907,222,042,112,#de2a70,0000
0908,245,090,184,#f55ab8,0130
0909,018,137,006,#128906,0078
0910,041,184,077,#29b84d,0226
0911,065,232,149,#41e895,0234
0912,088,029,221,#581ddd,0195
0913,111,077,043,#6f4d2b,0000
0914,134,124,115,#867c73,0000
0915,157,172,186,#9dacba,0000
0916,180,219,008,#b4db08,0000
0917,203,017,080,#cb1150,0000
0918,226,064,152,#e24098,0441
0919,000,112,224,#0070e0,0074
0920,023,159,045,#179f2d,0046
0921,046,206,117,#2ece75,0000
0922,069,004,189,#4504bd,0037
0923,092,051,011,#5c330b,0077
0924,115,099,083,#736353,0138
0925,138,146,154,#8a929a,0000
0926,161,194,226,#a1c2e2,0049
0927,185,241,048,#b9f130,0102
0928,208,039,120,#d02778,0110
0929,231,086,191,#e756bf,0043
0930,004,134,013,#04860d,0086
0931,027,181,085,#1bb555,0060
0932,050,228,157,#32e49d,0000
0933,073,026,229,#491ae5,0156
0934,096,073,050,#604932,0034
0935,120,121,122,#78797a,0046
0936,143,168,194,#8fa8c2,0029
0937,166,216,016,#a6d810,0018
0938,189,013,088,#bd0d58,0046
0939,212,061,159,#d43d9f,0037
0940,235,108,231,#eb6ce7,0076
0941,008,156,053,#089c35,0116
0942,031,203,125,#1fcb7d,0086
0943,054,001,197,#3601c5,0043
0944,078,048,018,#4e3012,0042
0945,101,095,090,#655f5a,0057
0946,124,143,162,#7c8fa2,0000
0947,147,190,234,#93beea,0077
0948,170,238,055,#aaee37,0067
0949,193,035,127,#c1237f,0118
0950,216,083,199,#d853c7,0222
0951,239,130,021,#ef8215,0224
0952,013,178,093,#0db25d,0000
0953,036,225,164,#24e1a4,0000
0954,059,023,236,#3b17ec,0000
0955,082,070,058,#52463a,0000
0956,105,117,130,#697582,0000
0957,128,165,202,#80a5ca,0000
0958,151,212,023,#97d417,0000
0959,174,010,095,#ae0a5f,0000
0960,198,057,167,#c639a7,0000
0961,221,105,239,#dd69ef,0000
0962,244,152,061,#f4983d,0109
0963,017,200,132,#11c884,0103
0964,040,247,204,#28f7cc,0091
0965,063,045,026,#3f2d1a,0116
0966,086,092,098,#565c62,0115
0967,109,139,169,#6d8ba9,0090
0968,133,187,241,#85bbf1,0229
0969,156,234,063,#9cea3f,0084
0970,179,032,135,#b32087,0310
0971,202,079,207,#ca4fcf,0243
0972,225,127,028,#e17f1c,0215
0973,248,174,100,#f8ae64,0000
0974,021,222,172,#15deac,0000
0975,044,019,244,#2c13f4,0000
0976,068,067,066,#444342,0324
0977,091,114,137,#5b7289,0000
0978,114,161,209,#72a1d1,0000
0979,137,209,031,#89d11f,0074
0980,160,006,103,#a00667,0086
0981,183,054,175,#b736af,0000
0982,206,101,246,#ce65f6,0042
0983,229,149,068,#e59544,0047
0984,003,196,140,#03c48c,0041
0985,026,244,212,#1af4d4,0057
0986,049,041,033,#312921,0045
0987,072,089,105,#485969,0046
0988,095,136,177,#5f88b1,0000
0989,118,183,249,#76b7f9,0049
0990,141,231,071,#8de747,0067
0991,164,028,142,#a41c8e,0054
0992,188,076,214,#bc4cd6,0046
0993,211,123,036,#d37b24,0030
0994,234,171,108,#eaab6c,0047
0995,007,218,180,#07dab4,0067
0996,030,016,001,#1e1001,0080
0997,053,063,073,#353f49,0092
0998,076,111,145,#4c6f91,0041
0999,099,158,217,#639ed9,0040
1000,123,206,039,#7bce27,0050
1001,146,003,110,#92036e,0048
1002,169,050,182,#a932b6,0051
1003,192,098,004,#c06204,0047
1004,215,145,076,#d7914c,0032
1005,238,193,147,#eec193,0037
1006,011,240,219,#0bf0db,0050
1007,034,038,041,#222629,0049
1008,057,085,113,#395571,0047
1009,081,133,185,#5185b9,0031
1010,104,180,006,#68b406,0034
1011,127,228,078,#7fe44e,0044
1012,150,025,150,#961996,0033
1013,173,072,222,#ad48de,0043
1014,196,120,044,#c4782c,0036
1015,219,167,115,#dba773,0062
1016,242,215,187,#f2d7bb,0055
1017,016,012,009,#100c09,0025
1018,039,060,081,#273c51,0105
1019,062,107,152,#3e6b98,0093
1020,085,155,224,#559be0,0091
1021,108,202,046,#6cca2e,0122
1022,131,000,118,#830076,0331
1023,154,047,190,#9a2fbe,0000
1024,177,094,011,#b15e0b,0000
1025,201,142,083,#c98e53,0000
1026,224,189,155,#e0bd9b,0000
1027,247,237,227,#f7ede3,0000
1028,020,034,049,#142231,0000
1029,043,082,120,#2b5278,0000
1030,066,129,192,#4281c0,0000
1031,089,177,014,#59b10e,0000
1032,112,224,086,#70e056,0000
1033,136,022,158,#88169e,0000
1034,159,069,229,#9f45e5,0388
1035,182,116,051,#b67433,0000
1036,205,164,123,#cda47b,0000
1037,228,211,195,#e4d3c3,0000
1038,001,009,016,#010910,0069
1039,024,056,088,#183858,0099
1040,047,104,160,#2f68a0,0103
1041,071,151,232,#4797e8,0095
1042,094,199,054,#5ec736,0110
1043,117,246,125,#75f67d,0082
1044,140,044,197,#8c2cc5,0076
1045,163,091,019,#a35b13,0065
1046,186,138,091,#ba8a5b,0121
1047,209,186,163,#d1baa3,0081
1048,232,233,234,#e8e9ea,0086
1049,006,031,056,#061f38,0000
1050,029,078,128,#1d4e80,0000
1051,052,126,200,#347ec8,0000
1052,075,173,022,#4bad16,0000
1053,098,221,093,#62dd5d,0000
1054,121,018,165,#7912a5,0248
1055,144,066,237,#9042ed,0000
1056,167,113,059,#a7713b,0122
1057,191,160,130,#bfa082,0125
1058,214,208,202,#d6d0ca,0066
1059,237,005,024,#ed0518,0049
1060,010,053,096,#0a3560,0058
1061,033,100,168,#2164a8,0081
1062,056,148,239,#3894ef,0133
1063,079,195,061,#4fc33d,0096
1064,102,243,133,#66f385,0138
1065,125,040,205,#7d28cd,0073
1066,149,088,027,#95581b,0091
1067,172,135,098,#ac8762,0173
1068,195,183,170,#c3b7aa,0195
1069,218,230,242,#dae6f2,0123
1070,241,027,064,#f11b40,0084
1071,014,075,136,#0e4b88,0105
1072,037,122,207,#257acf,0068
1073,060,170,029,#3caa1d,0059
1074,084,217,101,#54d965,0072
1075,107,015,173,#6b0fad,0132
1076,130,062,244,#823ef4,0115
1077,153,110,066,#996e42,0151
1078,176,157,138,#b09d8a,0074
1079,199,205,210,#c7cdd2,0083
1080,222,002,032,#de0220,0113
1081,245,049,103,#f53167,0066
1082,019,097,175,#1361af,0116
1083,042,144,247,#2a90f7,0067
1084,065,192,069,#41c045,0135
1085,088,239,141,#58ef8d,0073
1086,111,037,212,#6f25d4,0075
1087,134,084,034,#865422,0077
1088,157,132,106,#9d846a,0113
1089,180,179,178,#b4b3b2,0198
1090,204,227,000,#cce300,0288
1091,227,024,071,#e31847,0000
1092,000,071,143,#00478f,0000
1093,023,119,215,#1777d7,0000
1094,046,166,037,#2ea625,0000
1095,069,214,108,#45d66c,0000
1096,092,011,180,#5c0bb4,0000
1097,115,059,002,#733b02,0000
1098,139,106,074,#8b6a4a,0000
1099,162,154,146,#a29a92,0000
1100,185,201,217,#b9c9d9,0000
1101,208,249,039,#d0f927,0122
1102,231,046,111,#e72e6f,0000
1103,004,093,183,#045db7,0000
1104,027,141,005,#1b8d05,0137
1105,050,188,076,#32bc4c,0129
1106,074,236,148,#4aec94,0093
1107,097,033,220,#6121dc,0106
1108,120,081,042,#78512a,0104
1109,143,128,114,#8f8072,0000
1110,166,176,185,#a6b0b9,0114
1111,189,223,007,#bddf07,0000
1112,212,021,079,#d4154f,0086
1113,235,068,151,#eb4497,0136
1114,009,115,222,#0973de,0161
1115,032,163,044,#20a32c,0155
1116,055,210,116,#37d274,0000
1117,078,008,188,#4e08bc,0000
1118,101,055,010,#65370a,0000
1119,124,103,081,#7c6751,0000
1120,147,150,153,#939699,0000
1121,170,198,225,#aac6e1,0125
1122,194,245,047,#c2f52f,0000
1123,217,043,119,#d92b77,0000
1124,240,090,190,#f05abe,0000
1125,013,138,012,#0d8a0c,0000
1126,036,185,084,#24b954,0000
1127,059,232,156,#3be89c,0000
1128,082,030,227,#521ee3,0112
1129,105,077,049,#694d31,0126
1130,128,125,121,#807d79,0096
1131,152,172,193,#98acc1,0313
1132,175,220,015,#afdc0f,0109
1133,198,017,086,#c61156,0116
1134,221,065,158,#dd419e,0175
1135,244,112,230,#f470e6,0160
1136,017,160,052,#11a034,0449
1137,040,207,124,#28cf7c,0308
1138,063,004,195,#3f04c3,0102
1139,087,052,017,#573411,0305
1140,110,099,089,#6e6359,0071
1141,133,147,161,#8593a1,0165
1142,156,194,233,#9cc2e9,0000
1143,179,242,054,#b3f236,0100
1144,202,039,126,#ca277e,0125
1145,225,087,198,#e157c6,0060
1146,248,134,020,#f88614,0000
1147,022,182,091,#16b65b,0120
1148,045,229,163,#2de5a3,0077
1149,068,026,235,#441aeb,0147
1150,091,074,057,#5b4a39,0087
1151,114,121,129,#727981,0093
1152,137,169,200,#89a9c8,0073
1153,160,216,022,#a0d816,0193
1154,183,014,094,#b70e5e,0000
1155,207,061,166,#cf3da6,0272
1156,230,109,238,#e66dee,0265
1157,003,156,059,#039c3b,0000
1158,026,204,131,#1acc83,0000
1159,049,001,203,#3101cb,0000
1160,072,048,025,#483019,0000
1161,095,096,097,#5f6061,0000
1162,118,143,168,#768fa8,0000
1163,142,191,240,#8ebff0,0000
1164,165,238,062,#a5ee3e,0000
1165,188,036,134,#bc2486,0000
1166,211,083,205,#d353cd,0000
1167,234,131,027,#ea831b,0000
1168,007,178,099,#07b263,0176
1169,030,226,171,#1ee2ab,0123
1170,053,023,243,#3517f3,0000
1171,077,070,064,#4d4640,0000
1172,100,118,136,#647688,0000
1173,123,165,208,#7ba5d0,0124
1174,146,213,030,#92d51e,0000
1175,169,010,102,#a90a66,0000
1176,192,058,173,#c03aad,0000
1177,215,105,245,#d769f5,0000
1178,238,153,067,#ee9943,0317
1179,012,200,139,#0cc88b,0000
1180,035,248,211,#23f8d3,0000
1181,058,045,032,#3a2d20,0139
1182,081,092,104,#515c68,0129
1183,104,140,176,#688cb0,0143
1184,127,187,248,#7fbbf8,0122
1185,150,235,069,#96eb45,0086
1186,173,032,141,#ad208d,0084
1187,197,080,213,#c550d5,0200
1188,220,127,035,#dc7f23,0175
1189,243,175,107,#f3af6b,0000
1190,016,222,178,#10deb2,0000
1191,039,020,000,#271400,0247
1192,062,067,072,#3e4348,0000
1193,085,115,144,#557390,0000
1194,108,162,216,#6ca2d8,0000
1195,131,209,037,#83d125,0000
1196,155,007,109,#9b076d,0000
1197,178,054,181,#b236b5,0000
1198,201,102,003,#c96603,0000
1199,224,149,075,#e0954b,0000
1200,247,197,146,#f7c592,0000
1201,020,244,218,#14f4da,0000
1202,043,042,040,#2b2a28,0000
1203,066,089,112,#425970,0000
1204,090,137,183,#5a89b7,0000
1205,113,184,005,#71b805,0056
1206,136,231,077,#88e74d,0081
1207,159,029,149,#9f1d95,0085
1208,182,076,221,#b64cdd,0063
1209,205,124,042,#cd7c2a,0102
1210,228,171,114,#e4ab72,0065
1211,001,219,186,#01dbba,0105
1212,025,016,008,#191008,0091
1213,048,064,080,#304050,0104
1214,071,111,151,#476f97,0045
1215,094,159,223,#5e9fdf,0059
1216,117,206,045,#75ce2d,0055
1217,140,003,117,#8c0375,0074
1218,163,051,189,#a333bd,0109
1219,186,098,010,#ba620a,0124
1220,210,146,082,#d29252,0089
1221,233,193,154,#e9c19a,0099
1222,006,241,226,#06f1e2,0085
1223,029,038,047,#1d262f,0144
1224,052,086,119,#345677,0096
1225,075,133,191,#4b85bf,0073
1226,098,181,013,#62b50d,0205
1227,121,228,085,#79e455,0096
1228,145,025,156,#91199c,0098
1229,168,073,228,#a849e4,0194
1230,191,120,050,#bf7832,0000
1231,214,168,122,#d6a87a,0000
1232,237,215,194,#edd7c2,0000
1233,010,013,015,#0a0d0f,0000
1234,033,060,087,#213c57,0000
1235,056,108,159,#386c9f,0000
1236,080,155,231,#509be7,0000
1237,103,203,052,#67cb34,0000
1238,126,000,124,#7e007c,0000
1239,149,047,196,#952fc4,0122
1240,172,095,018,#ac5f12,0189
1241,195,142,090,#c38e5a,0082
1242,218,190,161,#dabea1,0000
1243,241,237,233,#f1ede9,0192
1244,015,035,055,#0f2337,0000
1245,038,082,127,#26527f,0000
1246,061,130,199,#3d82c7,0000
1247,084,177,020,#54b114,0000
1248,107,225,092,#6be15c,0000
1249,130,022,164,#8216a4,0000
1250,153,070,236,#9946ec,0126
1251,176,117,058,#b0753a,0078
1252,199,164,129,#c7a481,0043
1253,223,212,201,#dfd4c9,0133
1254,246,009,023,#f60917,0000
1255,019,057,095,#13395f,0208
1256,042,104,166,#2a68a6,0000
1257,065,152,238,#4198ee,0000
1258,088,199,060,#58c73c,0000
1259,111,247,132,#6ff784,0000
1260,134,044,204,#862ccc,0000
1261,158,092,025,#9e5c19,0000
1262,181,139,097,#b58b61,0000
1263,204,186,169,#ccbaa9,0132
1264,227,234,241,#e3eaf1,0284
1265,000,031,063,#001f3f,0099
1266,023,079,134,#174f86,0068
1267,046,126,206,#2e7ece,0066
1268,069,174,028,#45ae1c,0075
1269,093,221,100,#5ddd64,0089
1270,116,019,172,#7413ac,0114
1271,139,066,243,#8b42f3,0127
1272,162,114,065,#a27241,0162
1273,185,161,137,#b9a189,0086
1274,208,208,209,#d0d0d1,0117
1275,231,006,030,#e7061e,0194
1276,004,053,102,#043566,0309
1277,028,101,174,#1c65ae,0180
1278,051,148,246,#3394f6,0000
1279,074,196,068,#4ac444,0226
1280,097,243,139,#61f38b,0129
1281,120,041,211,#7829d3,0192
1282,143,088,033,#8f5821,0000
1283,166,136,105,#a68869,0000
1284,189,183,177,#bdb7b1,0000
1285,213,230,248,#d5e6f8,0000
1286,236,028,070,#ec1c46,0000
1287,009,075,142,#094b8e,0000
1288,032,123,214,#207bd6,0000
1289,055,170,036,#37aa24,0000
1290,078,218,107,#4eda6b,0000
1291,101,015,179,#650fb3,0000
1292,124,063,001,#7c3f01,0000
1293,148,110,073,#946e49,0000
1294,171,158,144,#ab9e90,0000
1295,194,205,216,#c2cdd8,0000
1296,217,002,038,#d90226,0000
1297,240,050,110,#f0326e,0000
1298,013,097,182,#0d61b6,0000
1299,036,145,003,#249103,0000
1300,059,192,075,#3bc04b,0000
1301,083,240,147,#53f093,0000
1302,106,037,219,#6a25db,0000
1303,129,085,041,#815529,0000
1304,152,132,112,#988470,0000
1305,175,180,184,#afb4b8,0000
1306,198,227,006,#c6e306,0000
1307,221,024,078,#dd184e,0000
1308,244,072,150,#f44896,0000
1309,018,119,221,#1277dd,0000
1310,041,167,043,#29a72b,0000
1311,064,214,115,#40d673,0000
1312,087,012,187,#570cbb,0131
1313,110,059,008,#6e3b08,0123
1314,133,107,080,#856b50,0196
1315,156,154,152,#9c9a98,0157
1316,179,202,224,#b3cae0,0192
1317,202,249,046,#caf92e,0131
1318,226,047,117,#e22f75,0070
1319,249,094,189,#f95ebd,0000
1320,022,141,011,#168d0b,0000
1321,045,189,083,#2dbd53,0000
1322,068,236,155,#44ec9b,0000
1323,091,034,226,#5b22e2,0260
1324,114,081,048,#725130,0154
1325,137,129,120,#898178,0171
1326,161,176,192,#a1b0c0,0153
1327,184,224,014,#b8e00e,0121
1328,207,021,085,#cf1555,0056
1329,230,069,157,#e6459d,0057
1330,003,116,229,#0374e5,0000
1331,026,163,051,#1aa333,0000
1332,049,211,122,#31d37a,0000
1333,072,008,194,#4808c2,0000
1334,096,056,016,#603810,0000
1335,119,103,088,#776758,0144
1336,142,151,160,#8e97a0,0000
1337,165,198,231,#a5c6e7,0106
1338,188,246,053,#bcf635,0155
1339,211,043,125,#d32b7d,0085
1340,234,091,197,#ea5bc5,0077
1341,007,138,019,#078a13,0065
1342,031,185,090,#1fb95a,0110
1343,054,233,162,#36e9a2,0080
1344,077,030,234,#4d1eea,0061
1345,100,078,056,#644e38,0089
1346,123,125,127,#7b7d7f,0072
1347,146,173,199,#92adc7,0054
1348,169,220,021,#a9dc15,0114
1349,192,018,093,#c0125d,0087
1350,216,065,165,#d841a5,0100
1351,239,113,236,#ef71ec,0071
1352,012,160,058,#0ca03a,0085
1353,035,207,130,#23cf82,0067
1354,058,005,202,#3a05ca,0084
1355,081,052,024,#513418,0111
1356,104,100,095,#68645f,0125
1357,127,147,167,#7f93a7,0119
1358,151,195,239,#97c3ef,0099
1359,174,242,061,#aef23d,0248
1360,197,040,133,#c52885,0139
1361,220,087,204,#dc57cc,0016
1362,243,135,026,#f3871a,0030
1363,016,182,098,#10b662,0058
1364,039,229,170,#27e5aa,0163
1365,062,027,241,#3e1bf1,0125
1366,086,074,063,#564a3f,0000
1367,109,122,135,#6d7a87,0000
1368,132,169,207,#84a9cf,0000
1369,155,217,029,#9bd91d,0017
1370,178,014,100,#b20e64,0020
1371,201,062,172,#c93eac,0054
1372,224,109,244,#e06df4,0071
1373,247,157,066,#f79d42,0078
1374,021,204,138,#15cc8a,0157
1375,044,002,209,#2c02d1,0067
1376,067,049,031,#43311f,0000
1377,090,096,103,#5a6067,0000
1378,113,144,175,#7190af,0062
1379,136,191,247,#88bff7,0000
1380,159,239,068,#9fef44,0000
1381,182,036,140,#b6248c,0000
1382,205,084,212,#cd54d4,0000
1383,229,131,034,#e58322,0000
1384,002,179,105,#02b369,0000
1385,025,226,177,#19e2b1,0000
1386,048,024,249,#3018f9,0000
1387,071,071,071,#474747,0000
1388,094,118,143,#5e768f,0000
1389,117,166,214,#75a6d6,0000
1390,140,213,036,#8cd524,0000
1391,164,011,108,#a40b6c,0000
1392,187,058,180,#bb3ab4,0000
1393,210,106,002,#d26a02,0000
1394,233,153,073,#e99949,0000
1395,006,201,145,#06c991,0000
1396,029,248,217,#1df8d9,0000
1397,052,046,039,#342e27,0000
1398,075,093,111,#4b5d6f,0000
1399,099,140,182,#638cb6,0000
1400,122,188,004,#7abc04,0000
1401,145,235,076,#91eb4c,0000
1402,168,033,148,#a82194,0000
1403,191,080,219,#bf50db,0000
1404,214,128,041,#d68029,0000
1405,237,175,113,#edaf71,0000
1406,010,223,185,#0adfb9,0000
1407,034,020,007,#221407,0000
1408,057,068,078,#39444e,0000
1409,080,115,150,#507396,0000
1410,103,162,222,#67a2de,0000
1411,126,210,044,#7ed22c,0000
1412,149,007,116,#950774,0000
1413,172,055,187,#ac37bb,0000
1414,195,102,009,#c36609,0000
1415,219,150,081,#db9651,0000
1416,242,197,153,#f2c599,0000
1417,015,245,225,#0ff5e1,0000
1418,038,042,046,#262a2e,0000
1419,061,090,118,#3d5a76,0000
1420,084,137,190,#5489be,0000
1421,107,184,012,#6bb80c,0000
1422,130,232,083,#82e853,0000
1423,154,029,155,#9a1d9b,0000
1424,177,077,227,#b14de3,0000
1425,200,124,049,#c87c31,0000
1426,223,172,121,#dfac79,0000
1427,246,219,192,#f6dbc0,0000
1428,019,017,014,#13110e,0000
1429,042,064,086,#2a4056,0000
1430,065,112,158,#41709e,0000
1431,089,159,230,#599fe6,0000
1432,112,206,051,#70ce33,0000
1433,135,004,123,#87047b,0000
1434,158,051,195,#9e33c3,0000
1435,181,099,017,#b56311,0000
1436,204,146,089,#cc9259,0000
1437,227,194,160,#e3c2a0,0000
1438,000,241,232,#00f1e8,0000
1439,023,039,054,#172736,0000
1440,047,086,126,#2f567e,0000
1441,070,134,197,#4686c5,0000
1442,093,181,019,#5db513,0000
1443,116,229,091,#74e55b,0000
1444,139,026,163,#8b1aa3,0000
1445,162,073,235,#a249eb,0000
1446,185,121,056,#b97938,0000
1447,208,168,128,#d0a880,0000
1448,232,216,200,#e8d8c8,0000
1449,005,013,022,#050d16,0000
1450,028,061,094,#1c3d5e,0000
1451,051,108,165,#336ca5,0000
1452,074,156,237,#4a9ced,0000
1453,097,203,059,#61cb3b,0008
1454,120,001,131,#780183,0000
1455,143,048,202,#8f30ca,0000
1456,167,095,024,#a75f18,0000
1457,190,143,096,#be8f60,0000
1458,213,190,168,#d5bea8,0000
1459,236,238,240,#eceef0,0000
1460,009,035,061,#09233d,0000
1461,032,083,133,#205385,0000
1462,055,130,205,#3782cd,0000
1463,078,178,027,#4eb21b,0000
1464,102,225,099,#66e163,0000
1465,125,023,170,#7d17aa,0000
1466,148,070,242,#9446f2,0072
1467,171,117,064,#ab7540,0034
1468,194,165,136,#c2a588,0032
1469,217,212,208,#d9d4d0,0032
1470,240,010,029,#f00a1d,0041
1471,013,057,101,#0d3965,0000
1472,037,105,173,#2569ad,0000
1473,060,152,245,#3c98f5,0043
1474,083,200,066,#53c842,0035
1475,106,247,138,#6af78a,0036
1476,129,045,210,#812dd2,0041
1477,152,092,032,#985c20,0052
1478,175,139,104,#af8b68,0047
1479,198,187,175,#c6bbaf,0065
1480,222,234,247,#deeaf7,0052
1481,245,032,069,#f52045,0075
1482,018,079,141,#124f8d,0034
1483,041,127,213,#297fd5,0030
1484,064,174,034,#40ae22,0030
1485,087,222,106,#57de6a,0040
1486,110,019,178,#6e13b2,0035
1487,133,067,000,#854300,0048
1488,157,114,072,#9d7248,0037
1489,180,161,143,#b4a18f,0051
1490,203,209,215,#cbd1d7,0056
1491,226,006,037,#e20625,0049
1492,249,054,109,#f9366d,0045
1493,022,101,180,#1665b4,0070
1494,045,149,002,#2d9502,0057
1495,068,196,074,#44c44a,0046
1496,092,244,146,#5cf492,0055
1497,115,041,218,#7329da,0039
1498,138,089,039,#8a5927,0061
1499,161,136,111,#a1886f,0056
1500,184,184,183,#b8b8b7,0031
1501,207,231,005,#cfe705,0043
1502,230,028,077,#e61c4d,0052
1503,003,076,148,#034c94,0048
1504,026,123,220,#1a7bdc,0068
1505,050,171,042,#32ab2a,0060
1506,073,218,114,#49da72,0059
1507,096,016,186,#6010ba,0045
1508,119,063,007,#773f07,0047
1509,142,111,079,#8e6f4f,0056
1510,165,158,151,#a59e97,0061
1511,188,206,223,#bccedf,0066
1512,211,003,044,#d3032c,0048
1513,235,050,116,#eb3274,0063
1514,008,098,188,#0862bc,0040
1515,031,145,010,#1f910a,0045
1516,054,193,082,#36c152,0065
1517,077,240,153,#4df099,0059
1518,100,038,225,#6426e1,0052
1519,123,085,047,#7b552f,0036
1520,146,133,119,#928577,0052
1521,170,180,191,#aab4bf,0045
1522,193,228,012,#c1e40c,0042
1523,216,025,084,#d81954,0083
1524,239,072,156,#ef489c,0068
1525,012,120,228,#0c78e4,0045
1526,035,167,050,#23a732,0042
1527,058,215,121,#3ad779,0067
1528,081,012,193,#510cc1,0072
1529,105,060,015,#693c0f,0045
1530,128,107,087,#806b57,0074
1531,151,155,158,#979b9e,0072
1532,174,202,230,#aecae6,0057
1533,197,000,052,#c50034,0056
1534,220,047,124,#dc2f7c,0063
1535,243,094,196,#f35ec4,0089
1536,016,142,017,#108e11,0085
1537,040,189,089,#28bd59,0045
1538,063,237,161,#3feda1,0040
1539,086,034,233,#5622e9,0060
1540,109,082,055,#6d5237,0073
1541,132,129,126,#84817e,0089
1542,155,177,198,#9bb1c6,0097
1543,178,224,020,#b2e014,0105
